window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_used_for_distance,center_extrapolated,center_extrapolation_side,center_track_time_min_pt,center_track_time_max_pt,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_distance_method,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-05-10 16:00:00,248.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-11 00:00:00,256.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-11 08:00:00,264.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-11 16:00:00,272.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-12 00:00:00,280.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-12 08:00:00,288.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-12 16:00:00,296.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-13 00:00:00,304.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-13 08:00:00,312.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-13 16:00:00,320.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-14 00:00:00,328.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-14 08:00:00,336.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-14 16:00:00,344.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-15 00:00:00,352.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-15 08:00:00,360.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-15 16:00:00,368.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-16 00:00:00,376.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-16 08:00:00,384.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-16 16:00:00,392.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-05-17 00:00:00,400.0,-28.807270278947794,-51.13693027874344,static,1,0,,,,radial,,America/Los_Angeles,,0,,,0,,,,,,0,,0,0,0,,,0,,,
