window_start_pt,hours_since_quake,only_hour_pt,min_edge_weight,long_distance_threshold_km,n_nodes,n_edges,density,avg_degree,gcc_fraction,n_components,component_size_std,degree_centralization,top10_degree_share,hub_count,avg_edge_distance,long_distance_edge_fraction,distance_p90
2023-02-05 08:00:00,-8.0,8,10.0,10.0,3913.0,9045.0,0.0011817615969420792,4.623051367237414,0.08944543828264759,536.0,20.367181675750068,0.013139882843158016,0.40757324488667773,545.0,4.429686553482737,0.056495301271420675,7.9139736117067
2023-02-06 08:00:00,16.0,8,10.0,10.0,5632.0,21873.0,0.0013793998522787815,7.767400568181818,0.22034801136363635,482.0,61.25570625278153,0.020471236838195562,0.49855986833081883,782.0,6.990894672185578,0.1888629817583322,13.41436973385966
2023-02-07 08:00:00,40.0,8,10.0,10.0,5479.0,20580.0,0.0013713617682330644,7.512319766380727,0.1803248768023362,514.0,51.99714557954227,0.020907171768055507,0.4969387755102041,741.0,6.7572689083921045,0.18333333333333332,13.25196613748458
2023-02-08 08:00:00,64.0,8,10.0,10.0,5576.0,21430.0,0.001378746839433575,7.686513629842181,0.17826398852223815,515.0,49.53428976927554,0.020870891599530813,0.5015165655622958,770.0,6.83169482989321,0.19015398973401773,13.413017648526937
2023-02-09 08:00:00,88.0,8,10.0,10.0,5656.0,22228.0,0.0013899154220082864,7.85997171145686,0.2103960396039604,508.0,56.15608341053895,0.021606230434890034,0.5030367104552816,803.0,6.898191804183174,0.19448443404714774,13.482523994555761
2023-02-10 08:00:00,112.0,8,10.0,10.0,5726.0,22631.0,0.0013807241007463085,7.904645476772616,0.1678309465595529,504.0,50.80737584283678,0.022732019322610077,0.5062745791171402,817.0,6.887322424196978,0.1968980601829349,13.506093064858328
2023-02-11 08:00:00,136.0,8,10.0,10.0,5225.0,17169.0,0.001258014170885937,6.571866028708134,0.10698564593301435,540.0,31.833079901173758,0.020955213701677026,0.4804298444871571,712.0,5.906127753160064,0.13291397285805812,11.487157015499395
2023-02-12 08:00:00,160.0,8,10.0,10.0,4319.0,10640.0,0.0011410529065695371,4.927066450567261,0.09979161843019217,576.0,22.01072963825008,0.012296785879323029,0.43665413533834585,633.0,4.693189483047532,0.06334586466165414,8.324055265249772
2023-02-13 08:00:00,184.0,8,10.0,10.0,5967.0,24709.0,0.0013881803039973851,8.2818836936484,0.17730853024970672,485.0,54.69013830251384,0.023091567499428867,0.5035209842567485,863.0,7.106675065400083,0.2115423529887895,14.040284661222097
2023-02-14 08:00:00,208.0,8,10.0,10.0,5980.0,25097.0,0.0014038544045743156,8.393645484949833,0.22040133779264215,487.0,64.37438655091586,0.022018796578702385,0.502848946089174,884.0,7.241589010661308,0.21381041558752042,14.207423337978527
2023-02-15 08:00:00,232.0,8,10.0,10.0,5890.0,24607.0,0.0014188347472958273,8.355517826825126,0.16468590831918506,506.0,49.480833067024385,0.022531760577938233,0.4995529727313366,868.0,7.085936484937903,0.2100621774291868,14.029683363455428
2023-02-16 08:00:00,256.0,8,10.0,10.0,5963.0,24758.0,0.0013928000484706568,8.303873888982055,0.17809827268153613,487.0,56.6890709378919,0.02377451646594061,0.500969383633573,869.0,7.144194151448094,0.21156797802730432,14.108597578722716
2023-02-17 08:00:00,280.0,8,10.0,10.0,5986.0,24719.0,0.0013799394354021817,8.258937520882059,0.1946207818242566,479.0,58.34638030398878,0.023857772774181444,0.5038431975403536,866.0,7.1481671380902805,0.21165904769610422,14.185282314804244
2023-02-18 08:00:00,304.0,8,10.0,10.0,5419.0,18790.0,0.0012799665614696277,6.934858830042443,0.17512456172725596,515.0,45.82686906773394,0.02143004676158271,0.480335284725918,798.0,6.165254429876256,0.14725918041511443,11.85231671066489
2023-02-19 08:00:00,328.0,8,10.0,10.0,4422.0,11498.0,0.0011762863214719518,5.200361827227499,0.11736770691994572,537.0,27.459821190294758,0.015569049814695595,0.4426856844668638,627.0,4.983613099308199,0.08123151852496087,9.398083563410516
2023-02-20 08:00:00,352.0,8,10.0,10.0,6284.0,26534.0,0.0013440935108964577,8.444939528962445,0.20480585614258434,495.0,63.31219643099299,0.02190018364924317,0.5022800934649884,938.0,7.212595142728116,0.21489409813823773,14.269292281936755
2023-02-21 08:00:00,376.0,8,10.0,10.0,6100.0,25839.0,0.0013890479223952327,8.471803278688524,0.10327868852459017,492.0,41.281502351300894,0.021572607782241317,0.4996516893068617,898.0,7.167832699801678,0.21239212043809744,14.09465600701369
2023-02-23 08:00:00,424.0,8,10.0,10.0,6117.0,25702.0,0.001374013366773254,8.403465751185221,0.14353441229360797,484.0,50.77485804120549,0.021196684219561095,0.4977044587969808,899.0,7.127053386333558,0.21181231032604467,14.185282314804692
2023-02-24 08:00:00,448.0,8,10.0,10.0,6085.0,25310.0,0.0013673268840451698,8.318816762530814,0.2170912078882498,476.0,64.48387056786837,0.023130742458882674,0.4980047412090083,885.0,7.080404324167117,0.20892927696562624,14.037104292332641
2023-02-25 08:00:00,472.0,8,10.0,10.0,5549.0,19382.0,0.0012591498198588104,6.98576320057668,0.13642097675256804,512.0,42.08351872973002,0.02182009176612156,0.4826901248581158,817.0,6.2121653134837675,0.14915901351769684,12.05769049302714
