r_bin_km,0.0,8.0,16.0,24.0,32.0,40.0,48.0,56.0,64.0,72.0
0.0,,,0.951878068141571,,,1.065892859599854,,,1.160663141917907,
10.0,,,0.9623993757806798,,,1.0690790408052566,,,1.1446115929646883,
20.0,,,0.9571520020174823,,,1.0628157461860894,,,1.0840931932141569,
30.0,,,0.6985275892614772,,,1.021738221854352,,,0.9915127740266787,
40.0,,,0.8760158168125991,,,1.2891230067784865,,,1.7723601589386284,
50.0,,,0.6737067966051514,,,1.0981911888042415,,,1.460767020291393,
60.0,,,0.9033908882697945,,,0.9711711681046539,,,1.0526979546206394,
70.0,,,0.7569165413329768,,,0.912233455763495,,,0.9715407201754301,
80.0,,,0.9761160906521842,,,1.0562801839757359,,,1.0811776725443627,
90.0,,,0.9824894911537441,,,0.9884251720809256,,,1.1202983670331674,
100.0,,,0.3045085042236189,,,0.5262747616998202,,,0.5287339395893399,
110.0,,,0.0,,,0.0,,,0.0,
120.0,,,,,,,,,,
130.0,,,0.7471468519370094,,,1.290810417670186,,,1.0391938485924013,
140.0,,,0.9338434629837015,,,1.1039046664430043,,,1.1578208274409074,
150.0,,,0.9151703492684374,,,0.9990642084218084,,,1.0233958171403508,
160.0,,,1.0330014644929415,,,0.9297884750893919,,,0.9298302800463619,
170.0,,,0.8329583574062167,,,0.9147003363244498,,,0.9889341510824052,
180.0,,,0.8713410498999594,,,0.8233273700262668,,,0.8544624549957873,
190.0,,,0.9564467894323765,,,1.086518056907216,,,1.0148155005572124,
200.0,,,1.339431178821725,,,0.9961736448534528,,,1.6807512005796028,
210.0,,,,,,,,,,
220.0,,,0.8092766059590701,,,1.4244575332376943,,,1.533832407126608,
230.0,,,,,,,,,,
240.0,,,,,,,,,,
250.0,,,,,,,,,,
260.0,,,,,,,,,,
270.0,,,,,,,,,,
280.0,,,,,,,,,,
290.0,,,,,,,,,,
300.0,,,,,,,,,,
310.0,,,,,,,,,,
320.0,,,,,,,,,,
330.0,,,,,,,,,,
340.0,,,,,,,,,,
350.0,,,,,,,,,,
360.0,,,,,,,,,,
370.0,,,,,,,,,,
380.0,,,,,,,,,,
390.0,,,,,,,,,,
400.0,,,,,,,,,,
410.0,,,,,,,,,,
420.0,,,,,,,,,,
430.0,,,,,,,,,,
440.0,,,,,,,,,,
450.0,,,,,,,,,,
460.0,,,,,,,,,,
470.0,,,,,,,,,,
480.0,,,,,,,,,,
490.0,,,,,,,,,,
