slug,name,event_type,output_root,fit_ok,best_model,best_bic_log,best_alpha,best_tau,best_beta,best_logA,n_fit,t_start,sigma1_energy,reason
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,1,power_law,-5.222649635042436,0.7083137873534374,,,0.6370436892676742,13.0,24.0,0.6077947886654543,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,1,power_law,-51.943921834930144,0.712698862343104,,,1.4494664378987787,14.0,24.0,0.8725584560521701,
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,1,power_law,-70.94444324634222,0.5715126435308641,,,2.202636494947031,29.0,24.0,0.7500781260089859,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,0,,,,,,,,72.0,,insufficient_fit_points
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,1,power_law,-22.630996238889626,0.15102249197369752,,,0.2659301860872146,4.0,192.0,0.9450025882685946,
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,1,power_law,-30.460177769173736,0.08624132702548436,,,-0.5321879803029483,7.0,72.0,0.931529661461368,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,1,power_law,-41.85298676080334,0.9997987744036445,,,4.311567002121703,12.0,96.0,0.5468610254851539,
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,1,power_law,-32.57067039425846,0.1724938402531192,,,0.233685192742752,7.0,72.0,0.9043854733721971,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,0,,,,,,,,288.0,,insufficient_fit_points
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,0,,,,,,,,264.0,,insufficient_fit_points
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,0,,,,,,,,288.0,,insufficient_fit_points
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,1,exponential,-32.49404664992308,,229.59019248764488,,0.007942979906480732,5.0,144.0,0.9684214939926664,
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,1,power_law,-38.64234257484824,0.782428400056531,,,3.322886886977208,11.0,29.0,0.926156258036644,
