slug,name,event_type,output_root,value_col,r_max_km,time_min,time_max,complete_only,sigma1_energy,mode_used,fit_mode,t_start,n_fit,t_fit_min,t_fit_max,model,k_params,bic_log,sse_log,r2_log,alpha,tau,beta,logA
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9450025882685946,drop_complete,from_peak,192.0,4,192.0,264.0,exponential,2,-22.483853869827893,0.007242301133991744,0.12391899666091133,,1676.7223060917067,,-0.4169855982291883
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9450025882685946,drop_complete,from_peak,192.0,4,192.0,264.0,stretched_exp,3,-21.22920995707073,0.007007817979097126,0.15228377103380009,,4.054894007872163,0.10000010679243464,0.9423133026171855
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.931529661461368,drop_complete,from_peak,72.0,7,72.0,216.0,power_law,2,-30.460177769173736,0.05174030816193778,0.11704337568119605,0.08624132702548436,,,-0.5321879803029483
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.931529661461368,drop_complete,from_peak,72.0,7,72.0,216.0,exponential,2,-29.97487709129719,0.055454662830326455,0.053657319895469846,,2264.8056938872305,,-0.8918671834088114
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.931529661461368,drop_complete,from_peak,72.0,7,72.0,216.0,stretched_exp,3,-28.453956816630978,0.0521880197467555,0.10940310596417335,,777.2547546714601,0.10000000000000002,-0.11526531073183133
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.5468610254851539,drop_complete,from_peak,96.0,12,96.0,360.0,power_law,2,-41.85298676080334,0.24244185871107013,0.8901038237892209,0.9997987744036445,,,4.311567002121703
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.5468610254851539,drop_complete,from_peak,96.0,12,96.0,360.0,exponential,2,-41.05042303556892,0.25921095653692383,0.8825025797657537,,205.6879060476384,,0.06743995442614559
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.5468610254851539,drop_complete,from_peak,96.0,12,96.0,360.0,stretched_exp,3,-39.875073004059516,0.23241219923021947,0.8946501559758391,,13.428523158186755,0.3707517282633137,1.7680524382017733
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9043854733721971,drop_complete,from_peak,72.0,7,72.0,216.0,power_law,2,-32.57067039425846,0.03827275120797896,0.417557437339494,0.1724938402531192,,,0.233685192742752
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9043854733721971,drop_complete,from_peak,72.0,7,72.0,216.0,exponential,2,-31.81141773318524,0.04265748906768428,0.3508295989950979,,836.4189327722897,,-0.44072881012284015
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9043854733721971,drop_complete,from_peak,72.0,7,72.0,216.0,stretched_exp,3,-30.558937337953907,0.038634337699358035,0.41205474009367016,,0.5783749761697407,0.10000013399468916,1.1137806689576517
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9684214939926664,drop_complete,from_peak,144.0,5,144.0,240.0,power_law,2,-31.068468252239455,0.005257861451879735,0.9535636481880735,0.813952009065088,,,3.4379493117470012
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9684214939926664,drop_complete,from_peak,144.0,5,144.0,240.0,exponential,2,-32.49404664992308,0.003953529390148083,0.9650832409069902,,229.59019248764488,,0.007942979906480732
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,1,0.9684214939926664,drop_complete,from_peak,144.0,5,144.0,240.0,stretched_exp,3,-31.10445298438696,0.0037834634512863463,0.966585228329155,,284.07760825634347,1.5208115335694543,-0.27035524940363853
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,200.0,,,1,0.926156258036644,drop_complete,from_peak,29.0,11,29.0,269.0,power_law,2,-38.64234257484824,0.21203033605049829,0.9334643431566272,0.782428400056531,,,3.322886886977208
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,200.0,,,1,0.926156258036644,drop_complete,from_peak,29.0,11,29.0,269.0,exponential,2,-35.64316852103002,0.27848983113585135,0.9126091851573033,,147.6023901027942,,0.5582481355084213
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,200.0,,,1,0.926156258036644,drop_complete,from_peak,29.0,11,29.0,269.0,stretched_exp,3,-38.62873095984367,0.17071172227126688,0.9464302288825454,,10.669849259280817,0.35473016120200757,2.0015142149363614
