hours_since_quake,0-25km,25-50km,50-100km,100-200km,200km+
-8.0,1.0259990122201592,1.0501693540975252,0.988754141169358,0.9592518276531964,
16.0,1.006337054334184,1.02130064532867,0.968248139321167,0.955101201748357,
40.0,1.0030672590474394,1.0209436056049288,0.968337684718453,0.9521036493063334,
64.0,1.0052876238260275,1.0232497710909545,0.9638913340639212,0.9626484959175144,
88.0,1.042592263926729,1.0574536801969905,1.030051752881424,1.0072705132160984,
112.0,1.0478242066125572,1.0539509315151658,1.0327729041548734,1.0264878007101308,
136.0,1.016660741044605,1.0745937247036823,0.9879455500478508,0.9960937960029016,
160.0,1.0337533077787862,1.0669231115810869,0.9973427160348818,0.9853575461987046,
184.0,1.0470144848266596,1.0648192919804362,1.003532352812293,1.0014491088038986,
208.0,1.0522149562331573,1.0724395636663675,1.0132205751893693,0.9959967617541452,
232.0,1.0568814102348367,1.0801880200783582,1.0199826499633096,1.0174853320393875,
256.0,1.0715044903980977,1.0846424297635195,1.045872843297531,1.0309255864970108,
280.0,1.080811033463526,1.0900508838468588,1.048397942763223,1.02181259547536,
304.0,1.0806183848545516,1.0995180063815049,1.0319335842107162,1.0244863063594931,
328.0,1.082352676878853,1.0998800522307115,1.02900133599272,1.0281761250199994,
352.0,1.0832189040679163,1.0960546782469334,1.0247270949851728,1.0275208692943467,
376.0,1.0572943190916675,1.0964502522801454,1.0169663815434835,1.0108555607261065,
400.0,1.0798680420286826,1.100769594423168,1.0243700259483808,1.0235021437422915,
424.0,1.102938786306953,1.1252936704732657,1.061489902063771,1.0515970903834593,
448.0,1.1076366000145417,1.1370603189316488,1.0651908586614465,1.057171561045114,
472.0,1.0797367504101518,1.1172820479898156,1.0361414339412358,1.0379599775629276,
496.0,1.0818184777555675,1.1043448065041712,1.0194485234198298,1.0187918598096524,
520.0,1.0685183055672771,1.1026002804304411,1.0220773932711804,1.0124008932823034,
544.0,1.0758153644493158,1.1000902297717017,1.016184356444808,1.011236479939874,
568.0,1.0820810356209087,1.1078473593775964,1.026608301588421,1.0213280375342233,
592.0,1.0890042100947477,1.1028995594445945,1.0606082106566823,1.0359144858309346,
616.0,1.0863409626067906,1.0962706497286472,1.0483769115327226,1.039482433288906,
640.0,1.0255758884710655,1.0567645642015455,1.0358687204182777,1.0206790762950535,
