slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10385152138755832,416.0,4,9,0.10617871240328235,0.23120411163484572,0.8379497419858574,24.0,96.0,0.8214581784514978,0.08530968158844042
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.1242783818072858,-12.0,5,14,0.736392299603873,1.6617676790641516,0.9168100001197833,20.0,116.0,0.2701261086874698,0.03357083567157775
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.21757326670725943,8.0,5,14,0.849812632262648,2.1678290759946117,0.9756458547813733,24.0,120.0,0.13407960601847999,0.029172137880263013
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.18221130403887567,32.0,5,30,0.6645703095805049,1.9447551194280093,0.989049862415856,24.0,120.0,0.22703964963611378,0.04136919062872574
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.09636746485944718,200.0,1,1,,,,20.0,20.0,0.8253949827367133,0.07954122199404423
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.09375778747390284,296.0,3,3,0.062102567088619345,0.05135056723604534,0.907134199324987,24.0,68.0,0.8036081431734764,0.07534452149995649
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,0.2493944243998009,-8.0,2,10,,,,16.0,40.0,0.45971114884646286,0.1146493973567348
moldova_flooding_2024,moldova,flood,INFL,0.07644524813347134,648.0,0,0,,,,,,,
spain_flood,spain_flood,flood,INFL,0.12242049224548605,104.0,4,5,0.2268267301818943,0.6589717687768551,0.9988822853690316,24.0,96.0,0.8173375688100919,0.10005886750446027
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.24759529687456974,32.0,4,4,0.3479752777497077,0.7066884660171192,0.893023087603731,24.0,96.0,0.3869447158247225,0.0958056917886682
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.14402853334801305,336.0,0,0,,,,,,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.0877116524612791,8.0,5,11,0.27474716891908124,0.12721573782289197,0.8701492481798825,24.0,120.0,0.5049916436409132,0.04429365154288188
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.10725041591610836,128.0,2,2,,,,24.0,40.0,0.7724312091320603,0.08284356844599594
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.3565980804269134,8.0,4,34,0.24680140460507352,0.6588314780589544,0.9711881658748021,24.0,96.0,0.6237477350986944,0.22242724500682928
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.2914427860091868,21.0,6,11,0.5016555761289063,1.3163054531391674,0.974097670819227,16.0,136.0,0.2583003130390021,0.07527976285913185
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.09426443243894049,128.0,6,9,0.04540063196774136,-0.3369134161530223,0.20380469209488494,24.0,144.0,0.5527456113557215,0.05210425133756227
