subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,10,-0.8303030303030302,0.002940227023279509
selected_r2_ge_0p8,9,-0.9333333333333332,0.00023589981215941651
