ds,hours_since_quake,band,n_polygons,activity_mean
2024-09-16,-16.0,0-25km,13,0.49128397725945416
2024-09-16,-16.0,100-200km,45,0.4907230186911281
2024-09-16,-16.0,25-50km,62,0.45293947706000115
2024-09-16,-16.0,50-100km,51,0.4308439405864086
2024-09-17,8.0,0-25km,13,0.4983190542216936
2024-09-17,8.0,100-200km,45,0.48719563213432693
2024-09-17,8.0,25-50km,62,0.45611907943860974
2024-09-17,8.0,50-100km,51,0.42846572900504126
2024-09-18,32.0,0-25km,13,0.4941325071148404
2024-09-18,32.0,100-200km,45,0.4960179656466755
2024-09-18,32.0,25-50km,62,0.4577767712953894
2024-09-18,32.0,50-100km,51,0.4330302244483755
2024-09-19,56.0,0-25km,13,0.4926629420344271
2024-09-19,56.0,100-200km,45,0.4882038329819374
2024-09-19,56.0,25-50km,62,0.4569754342641014
2024-09-19,56.0,50-100km,51,0.4332715081074586
2024-09-20,80.0,0-25km,13,0.489156473780936
2024-09-20,80.0,100-200km,45,0.49644926313587723
2024-09-20,80.0,25-50km,62,0.45842734365071924
2024-09-20,80.0,50-100km,51,0.4454031636521907
2024-09-21,104.0,0-25km,13,0.49258112813210686
2024-09-21,104.0,100-200km,45,0.48649154835862923
2024-09-21,104.0,25-50km,62,0.45511277676447365
2024-09-21,104.0,50-100km,51,0.4501878526834115
2024-09-22,128.0,0-25km,13,0.507213195909867
2024-09-22,128.0,100-200km,45,0.48244432356733646
2024-09-22,128.0,25-50km,62,0.4674870191095899
2024-09-22,128.0,50-100km,51,0.43793938124479326
2024-09-23,152.0,0-25km,13,0.5032019225714868
2024-09-23,152.0,100-200km,45,0.4868662114291763
2024-09-23,152.0,25-50km,62,0.4721335842956187
2024-09-23,152.0,50-100km,51,0.44588632823183266
2024-09-24,176.0,0-25km,13,0.5073122491529245
2024-09-24,176.0,100-200km,45,0.4957740982698518
2024-09-24,176.0,25-50km,62,0.4841981865168208
2024-09-24,176.0,50-100km,51,0.4529806352993134
2024-09-25,200.0,0-25km,13,0.5248585230291584
2024-09-25,200.0,100-200km,45,0.4882437520152388
2024-09-25,200.0,25-50km,62,0.5040648886994566
2024-09-25,200.0,50-100km,51,0.46370978644340344
2024-09-26,224.0,0-25km,13,0.5487486214402556
2024-09-26,224.0,100-200km,45,0.4878816631099959
2024-09-26,224.0,25-50km,62,0.49855411404122246
2024-09-26,224.0,50-100km,51,0.4820989623230203
2024-09-27,248.0,0-25km,13,0.5547530107728517
2024-09-27,248.0,100-200km,45,0.48729203269042853
2024-09-27,248.0,25-50km,62,0.5042261435654236
2024-09-27,248.0,50-100km,51,0.48499746450518444
2024-09-28,272.0,0-25km,13,0.566916455101396
2024-09-28,272.0,100-200km,45,0.4751270133154418
2024-09-28,272.0,25-50km,62,0.5140152891292814
2024-09-28,272.0,50-100km,51,0.49582769725629455
2024-09-29,296.0,0-25km,13,0.5455495175508722
2024-09-29,296.0,100-200km,45,0.4897710735132734
2024-09-29,296.0,25-50km,62,0.5101440499816535
2024-09-29,296.0,50-100km,51,0.5084455407227197
2024-09-30,320.0,0-25km,13,0.5593768945745792
2024-09-30,320.0,100-200km,45,0.5003308377324633
2024-09-30,320.0,25-50km,62,0.5195056853495912
2024-09-30,320.0,50-100km,51,0.5192448214094147
2024-10-01,344.0,0-25km,13,0.5654758796362278
2024-10-01,344.0,100-200km,45,0.5022814051679165
2024-10-01,344.0,25-50km,62,0.5110038604227373
2024-10-01,344.0,50-100km,51,0.5315652724372195
2024-10-02,368.0,0-25km,13,0.5535992697851186
2024-10-02,368.0,100-200km,45,0.5112164715203432
2024-10-02,368.0,25-50km,62,0.49021386388100663
2024-10-02,368.0,50-100km,51,0.5322469657703679
2024-10-03,392.0,0-25km,13,0.5489236021560442
2024-10-03,392.0,100-200km,45,0.5188302110473839
2024-10-03,392.0,25-50km,62,0.49636101721178155
2024-10-03,392.0,50-100km,51,0.5404306921307902
2024-10-04,416.0,0-25km,13,0.550158655936606
2024-10-04,416.0,100-200km,45,0.5187222998925043
2024-10-04,416.0,25-50km,62,0.4944454680260535
2024-10-04,416.0,50-100km,51,0.5523571676580586
2024-10-05,440.0,0-25km,13,0.5848530508487774
2024-10-05,440.0,100-200km,45,0.5494965206409514
2024-10-05,440.0,25-50km,62,0.5055904490189992
2024-10-05,440.0,50-100km,51,0.5600755813546507
2024-10-06,464.0,0-25km,13,0.6094178873648094
2024-10-06,464.0,100-200km,45,0.5486498722640843
2024-10-06,464.0,25-50km,62,0.5010321888114857
2024-10-06,464.0,50-100km,51,0.5558786116321588
2024-10-07,488.0,0-25km,13,0.6295300705540801
2024-10-07,488.0,100-200km,45,0.5380445340530264
2024-10-07,488.0,25-50km,62,0.4959011522573399
2024-10-07,488.0,50-100km,51,0.5447202904312357
2024-10-08,512.0,0-25km,13,0.6145890988030674
2024-10-08,512.0,100-200km,45,0.5305206417255294
2024-10-08,512.0,25-50km,62,0.49676728594469105
2024-10-08,512.0,50-100km,51,0.5373128578839178
2024-10-09,536.0,0-25km,13,0.6311304040154718
2024-10-09,536.0,100-200km,45,0.5336826776925252
2024-10-09,536.0,25-50km,62,0.501765629574378
2024-10-09,536.0,50-100km,51,0.5360553144579162
2024-10-10,560.0,0-25km,13,0.6462075936916071
2024-10-10,560.0,100-200km,45,0.530671820023161
2024-10-10,560.0,25-50km,62,0.510664069841092
2024-10-10,560.0,50-100km,51,0.5311411215176979
2024-10-11,584.0,0-25km,13,0.6332689364102996
2024-10-11,584.0,100-200km,45,0.5159959059295991
2024-10-11,584.0,25-50km,62,0.5066495364243268
2024-10-11,584.0,50-100km,51,0.5155801484888676
2024-10-12,608.0,0-25km,13,0.6003514372070327
2024-10-12,608.0,100-200km,45,0.5028225813489431
2024-10-12,608.0,25-50km,62,0.4824065837168806
2024-10-12,608.0,50-100km,51,0.5039156277716814
2024-10-13,632.0,0-25km,13,0.5768666837829005
2024-10-13,632.0,100-200km,45,0.5054067205153975
2024-10-13,632.0,25-50km,62,0.48753364772201213
2024-10-13,632.0,50-100km,51,0.5239239374474876
