band,n_points,tau_hours,tau_r2,fit_ok
0-25km,28,313.4706253082878,0.6490524912046477,1
100-200km,28,459.58384157853186,0.3684432548331752,1
25-50km,28,277.59646063033887,0.37185651942787923,1
50-100km,28,234.76990238883977,0.7566099743557825,1
