r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,path_coverage_frac_mean,r_center_km,abs_dev
50.0,1.0315870298227183,71.0,68.33333333333333,0.4166666666666667,55.0,0.03158702982271833
60.0,0.9902223477779399,131.66666666666666,121.0,0.4166666666666667,65.0,0.009777652222060063
70.0,0.977267499969522,231.66666666666666,214.0,0.5833333333333334,75.0,0.022732500030477998
80.0,1.004588768856493,341.3333333333333,325.6666666666667,0.5833333333333334,85.0,0.004588768856492953
90.0,1.0125878247581406,421.6666666666667,409.6666666666667,0.5833333333333334,95.0,0.012587824758140576
100.0,1.0011602087736098,449.0,433.3333333333333,0.5833333333333334,105.0,0.0011602087736097833
110.0,1.0009602813258047,439.0,419.6666666666667,0.5833333333333334,115.0,0.0009602813258047238
120.0,0.9867365053467473,580.6666666666666,554.3333333333334,0.5833333333333334,125.0,0.013263494653252716
130.0,1.0011258631683273,690.6666666666666,670.6666666666666,0.5,135.0,0.0011258631683273013
140.0,0.9996965588984295,772.6666666666666,747.0,0.5833333333333334,145.0,0.00030344110157054516
150.0,1.0102447018358778,845.0,810.0,0.5833333333333334,155.0,0.010244701835877779
160.0,1.0123324889077476,943.6666666666666,918.3333333333334,0.5833333333333334,165.0,0.01233248890774763
170.0,1.0156275122571132,852.3333333333334,823.6666666666666,0.5833333333333334,175.0,0.01562751225711323
180.0,1.0066864853032536,727.0,685.3333333333334,0.5833333333333334,185.0,0.006686485303253553
190.0,1.009304884440612,953.3333333333334,911.3333333333334,0.5833333333333334,195.0,0.00930488444061206
200.0,1.0127512848823792,1012.0,977.6666666666666,0.5833333333333334,205.0,0.012751284882379199
210.0,1.0061819408764467,1003.3333333333334,963.6666666666666,0.5833333333333334,215.0,0.006181940876446745
220.0,0.9959760009462068,1161.6666666666667,1118.3333333333333,0.5833333333333334,225.0,0.004023999053793248
230.0,0.9996339084632249,922.6666666666666,881.3333333333334,0.5833333333333334,235.0,0.00036609153677513717
240.0,0.9999195037737305,820.6666666666666,788.3333333333334,0.5833333333333334,245.0,8.04962262694886e-05
250.0,0.9990015456649667,891.3333333333334,859.3333333333334,0.4166666666666667,255.0,0.0009984543350333164
260.0,1.000282799024893,786.0,753.6666666666666,0.4166666666666667,265.0,0.0002827990248930323
270.0,1.0001946057889681,598.3333333333334,573.3333333333334,0.4166666666666667,275.0,0.0001946057889681274
280.0,1.0331936732653046,397.0,370.0,0.4166666666666667,285.0,0.033193673265304646
290.0,1.0457644587769346,406.0,380.3333333333333,0.4166666666666667,295.0,0.04576445877693458
300.0,1.0259743056924533,432.0,413.3333333333333,0.4166666666666667,305.0,0.025974305692453292
310.0,1.0276901178455375,450.6666666666667,431.0,0.4166666666666667,315.0,0.027690117845537543
320.0,1.0196693597524946,569.6666666666666,540.0,0.4166666666666667,325.0,0.01966935975249462
330.0,1.026060069918857,509.0,486.0,0.4166666666666667,335.0,0.0260600699188569
340.0,1.0431703156489276,601.3333333333334,579.0,0.4166666666666667,345.0,0.04317031564892759
350.0,0.9966210057231288,657.3333333333334,638.0,0.3611111111111111,355.0,0.003378994276871161
360.0,1.0154263856995809,720.3333333333334,695.6666666666666,0.4166666666666667,365.0,0.01542638569958088
370.0,1.0274166874423452,675.6666666666666,647.0,0.4166666666666667,375.0,0.027416687442345156
380.0,1.0059158840101385,666.6666666666666,644.6666666666666,0.4166666666666667,385.0,0.005915884010138539
390.0,0.9952675474685018,723.6666666666666,701.6666666666666,0.4166666666666667,395.0,0.004732452531498232
400.0,1.0025366225544075,803.0,784.6666666666666,0.4166666666666667,405.0,0.0025366225544074528
410.0,0.9935262389556558,640.3333333333334,620.6666666666666,0.4166666666666667,415.0,0.006473761044344162
420.0,1.0311137138199067,699.3333333333334,681.6666666666666,0.3333333333333333,425.0,0.031113713819906685
430.0,1.0261372355180638,643.0,632.3333333333334,0.3055555555555555,435.0,0.026137235518063795
440.0,1.015492872777591,656.3333333333334,637.0,0.25,445.0,0.015492872777590927
450.0,1.0296774820284893,789.6666666666666,768.6666666666666,0.25,455.0,0.0296774820284893
460.0,1.0270394494948416,843.0,829.3333333333334,0.25,465.0,0.027039449494841605
470.0,1.0336807849848235,845.6666666666666,825.6666666666666,0.25,475.0,0.03368078498482352
480.0,1.0411502703012927,872.3333333333334,849.0,0.25,485.0,0.0411502703012927
490.0,1.0143965644892388,927.0,904.3333333333334,0.25,495.0,0.014396564489238761
