t_start_hours,t_end_hours,duration_hours,n_windows
56.0,72.0,16.0,3
88.0,88.0,0.0,1
104.0,104.0,0.0,1
200.0,200.0,0.0,1
248.0,248.0,0.0,1
288.0,296.0,8.0,2
336.0,336.0,0.0,1
