slug,D_peak,alpha_emp,alpha_pred_loo,k0_loo,gamma_loo,ssr_loo
flooding_in_central_and_eastern_europe_sept_16_2024,0.1005919988678328,0.0978433601132348,3.635655930854161,0.04193611654989475,1.2512876365624674e-13,0.01525508171718739
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.1218373784779385,0.593924263029768,4.411225815154554,0.038280578878168464,7.620570841027074e-13,0.10857288648269882
hurricane_beryl_across_southeastern_texas_us,0.1182352467469458,0.6471140254387306,5.824828156645807,0.04770124707732997,1.5076992938532246e-13,0.12611769044423807
hurricane_beryl_pre_landfall_2024,0.1714251397966239,0.4253901178736078,7.37189860431576,0.047254148090156024,7.709388682997087e-13,0.3382768694453874
hurricane_john_across_southeastern_guerrero_mexico,0.1013123414320732,-0.0187885228771998,2.7092380377750502,0.04132214114407038,2.149391775674303e-13,0.04801446572117252
hurricane_john_southern_mexico_25_september_2024,0.1169310535357565,0.0822667257418016,3.3655640107371756,0.042008610485141956,2.4049357874296204e-13,0.05200983412215614
hurricane_milton_across_florida_us,0.1402609197082922,0.2091651414158485,2.775835358499798,0.042337904191995075,4.703270285238752e-14,0.03137231633945254
moldova_flooding_2024,0.0629946988646874,0.1828320289226983,3.2428903571941676,0.04047741104515676,3.375077994860476e-14,0.12679733652969416
spain_flood,0.1291051378624129,0.2672111552113404,2.3876633753665604,0.04182054664735829,2.353672812205332e-13,0.03919924646552499
the_earthquake_across_central_mexico,0.2475952968745697,0.3479752777497077,2.221565435573904,0.043253929418132164,4.902744876744691e-13,0.015510977430484294
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.1846441741699349,1.1346522923352398,4.526994093877805,0.03707289863030783,1.7763568394002505e-15,1.6039047093809806
the_flooding_across_eastern_bangladesh,0.084443726999841,0.1691876148186711,3.5999295730916705,0.03816034140437324,7.993605777301127e-14,0.5291119890629621
the_flooding_across_gujarat_india,0.1248691169593248,0.1609104782222367,2.8395326864751724,0.043309435648588857,1.1901590823981678e-13,0.06372790938890263
turkiye_earthquake_2023,0.4011400882265244,0.2228386744457222,7.232986860470262,0.04270177274944483,2.113864638886298e-13,0.04516603535432008
typhoon_yagi_across_northeastern_vietnam,0.2564811305157264,0.8332010653890054,4.392001054219631,0.046556538475127834,2.0339285811132868e-13,0.10516617021627364
wildfires_in_boise_county_idaho_27_august_2024,0.1370914440779581,0.1809235793291555,3.1760075006627644,0.0396425863741068,1.3490350764796337e-13,0.07172457597294804
