slug,D_peak,D_inf_norm,n_pts,ssr_ode,r2_ode,ssr_pl,r2_pl,alpha_pl
flooding_in_central_and_eastern_europe_sept_16_2024,0.1005919988678328,0.8665136001354186,9,0.015254787890893478,0.14080878756328963,0.014926747638629789,0.15928490824660224,0.03004399419322895
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.1218373784779385,0.2621957629686773,13,0.0911427210286538,-1.1036242005790622,0.04286360775216118,0.01068432482691728,0.02999151447205489
hurricane_beryl_across_southeastern_texas_us,0.1182352467469458,0.2020490314191309,14,0.09604645487142499,0.6384555107303206,0.01893963037831057,0.9287061765970498,0.47502645147960904
hurricane_beryl_pre_landfall_2024,0.1714251397966239,0.4486801646922188,30,0.311125692895714,0.3636865210496404,0.22254328513313706,0.5448550370040526,0.17895572578192462
hurricane_john_across_southeastern_guerrero_mexico,0.1013123414320732,0.8340106279041756,6,0.0475267152767546,-1.4671564291373906,0.008600494474403718,0.5535402538819284,-0.08769467988241482
hurricane_john_southern_mexico_25_september_2024,0.1169310535357565,0.6355443005209976,8,0.052005974492154106,-0.7597680544456709,0.027498879473093638,0.06949826241401158,0.037482289128964695
hurricane_milton_across_florida_us,0.1402609197082922,0.7943681594503664,6,0.031196727977071823,0.2716935268207059,0.024384115326233545,0.4307380874078056,0.10566279479218482
moldova_flooding_2024,0.0629946988646874,0.6441664810851007,8,0.12407886660891615,-0.37800899469614246,0.08929936816492992,0.008249060335040248,-0.021759291335736987
spain_flood,0.1291051378624129,0.785070108828101,5,0.039178665527541956,0.15835075146413802,0.019142215541442437,0.588780498038129,0.1654823716437603
the_earthquake_across_central_mexico,0.2475952968745697,0.3869447158247225,4,0.0136578063924128,0.6694777298772948,0.003632763324894888,0.9120862350465164,0.34797527774970777
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.1846441741699349,0.5439554336665122,14,1.5717405622624545,-1.5760167896781971,0.6651664709529166,-0.09017991788620972,-0.06730218590344328
the_flooding_across_eastern_bangladesh,0.084443726999841,0.5486530819271915,10,0.509698848412074,-0.655028039169623,0.2936134231775815,0.046616547105460815,-0.09710325989527581
the_flooding_across_gujarat_india,0.1248691169593248,0.6516885562177972,6,0.06163337505395998,-0.3965967816675373,0.013643087773130868,0.6908510614698509,0.16091047822223678
turkiye_earthquake_2023,0.4011400882265244,0.5693644673300816,34,0.044520895111567045,0.5075582024264802,0.05096528291023589,0.4362773824006305,0.062256773953677416
typhoon_yagi_across_northeastern_vietnam,0.2564811305157264,0.2442661187901973,10,0.08531918912992908,0.6666694034030869,0.0501629057632482,0.8040202740366555,0.4680208830612114
wildfires_in_boise_county_idaho_27_august_2024,0.1370914440779581,0.351065603851145,8,0.06491845555356736,-2.3136813162024428,0.01957644523372247,0.0007448535937665257,0.014349331315607268
