slug,short_name,window_start_pt,hours_since_peak,return_flow,R_return,denominator_F_out_near_pos,n_vectors_return
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-05 08:00:00,8.0,0.0,0.0,4.5,0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-05 16:00:00,16.0,8.833333333333334,1.962962962962963,4.5,3
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-06 08:00:00,32.0,108.3525947018899,24.078354378197755,4.5,26
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-06 16:00:00,40.0,32.66666666666667,7.25925925925926,4.5,14
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-07 08:00:00,56.0,87.00043736152196,19.333430524782656,4.5,22
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-07 16:00:00,64.0,55.0,12.222222222222221,4.5,17
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-08 08:00:00,80.0,80.43412426993739,17.874249837763863,4.5,33
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-08 16:00:00,88.0,69.94834931910283,15.544077626467296,4.5,21
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-09 08:00:00,104.0,263.1890794704125,58.48646210453611,4.5,58
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-09 16:00:00,112.0,60.723797601912295,13.494177244869398,4.5,17
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-10 08:00:00,128.0,189.2799709301591,42.06221576225758,4.5,42
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-10 16:00:00,136.0,92.54271545538082,20.565047878973516,4.5,19
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-11 08:00:00,152.0,146.33333333333334,32.51851851851852,4.5,41
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-11 16:00:00,160.0,81.33333333333336,18.07407407407408,4.5,15
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-12 08:00:00,176.0,182.1666666666667,40.481481481481495,4.5,49
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,2024-07-12 16:00:00,184.0,140.99999999999997,31.33333333333333,4.5,25
