metric,target,controls,n,partial_spearman_r,partial_p
F_total,alpha,D_peak,10,-0.2751257853819075,0.4416862734073541
F_out_near,alpha,D_peak,10,-0.2649124241255026,0.45948847138263504
F_in_far,alpha,D_peak,10,-0.1621605157705791,0.6544555112191437
F_long,alpha,D_peak,10,-0.3253421227160263,0.3589807389280356
R_bar,alpha,D_peak,13,-0.04813210400707884,0.875918726790949
cos_alignment,alpha,D_peak,13,0.2546743522157407,0.40107873733946237
HHI_dest,alpha,D_peak,9,0.09968968571802989,0.7985882247162935
d_median,alpha,D_peak,9,0.3869300378999001,0.30359051922666963
d_p90,alpha,D_peak,9,0.32593724338780844,0.3920147302779224
alpha_return,alpha,D_peak,5,-0.629940788348712,0.2546989349698944
stay_put_ratio_peak,alpha,D_peak,13,-0.563894600042137,0.044728196745337116
