metric,target,n,spearman_rho,spearman_p
F_total,alpha,10,-0.2121212121212121,0.5563057751029299
F_total,D_peak,10,0.12727272727272726,0.7260570147627894
F_total,delta_near,10,0.35757575757575755,0.3103760917056799
F_out_near,alpha,10,-0.37426130267530777,0.2866631890735267
F_out_near,D_peak,10,-0.4356156145892926,0.20825788700156508
F_out_near,delta_near,10,0.5583242384172624,0.09346396626964013
F_in_far,alpha,10,-0.2650683553724467,0.45921430011338593
F_in_far,D_peak,10,-0.35557950110937975,0.3132800248482538
F_in_far,delta_near,10,0.40730015581619866,0.24270590143017545
F_long,alpha,10,-0.1563263498701806,0.6662711764248134
F_long,D_peak,10,0.3689301856936262,0.29413043969613395
F_long,delta_near,10,0.3126526997403612,0.3790974700089891
R_bar,alpha,13,0.016483516483516484,0.9573761750901849
R_bar,D_peak,13,0.09890109890109891,0.7478683035983906
R_bar,delta_near,13,-0.22527472527472525,0.4593051427250058
cos_alignment,alpha,13,0.2857142857142857,0.34400021825867
cos_alignment,D_peak,13,0.13736263736263735,0.6545168402947126
cos_alignment,delta_near,13,0.12087912087912088,0.6940473279966857
HHI_dest,alpha,9,0.10041928905068676,0.7971388092372127
HHI_dest,D_peak,9,0.04184137043778616,0.9148857180816652
HHI_dest,delta_near,9,-0.4435185266405332,0.2317840652993742
d_median,alpha,9,0.06666666666666667,0.8646897846262037
d_median,D_peak,9,-0.2833333333333333,0.46003032896571994
d_median,delta_near,9,0.11666666666666665,0.7650079429261462
d_p90,alpha,9,-0.06666666666666667,0.8646897846262037
d_p90,D_peak,9,-0.39999999999999997,0.2861051019083129
d_p90,delta_near,9,0.2833333333333333,0.46003032896571994
alpha_return,alpha,5,-0.7,0.1881204043741873
alpha_return,D_peak,5,-0.49999999999999994,0.39100221895577053
alpha_return,delta_near,5,-0.09999999999999999,0.8728885715695383
stay_put_ratio_peak,alpha,13,-0.7087912087912087,0.006681784135857957
stay_put_ratio_peak,D_peak,13,-0.5879120879120878,0.03458605834210788
stay_put_ratio_peak,delta_near,13,0.7802197802197801,0.001652500657442955
