subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,13,-0.8296703296703297,0.000450286295546213
selected_r2_ge_0p8,9,-0.8666666666666667,0.002495398285990204
