window_start_pt,hours_since_quake,only_hour_pt,outflow_phi_threshold,inflow_phi_threshold,outflow_tile_count,inflow_tile_count,stable_tile_count,unknown_tile_count,net_population_change,outflow_centroid_lat,outflow_centroid_lon,inflow_centroid_lat,inflow_centroid_lon,outflow_avg_distance,inflow_avg_distance
2024-06-30,0.0,0,1.1,1.1,881,78,0,45,-1397.1622389152624,11.23818518041395,-61.15774736961949,11.829336264236193,-61.17199260981874,153.16014725222652,127.42802782067284
2024-07-01,24.0,0,1.1,1.1,334,624,0,42,14056.060690306767,11.502392723237087,-61.0578769961037,11.03603494035772,-61.27139967941957,165.75576306126646,142.51841115896437
2024-07-02,48.0,0,1.1,1.1,783,98,0,112,-8178.294045439901,11.200003773245312,-61.160581312982906,11.693485603610034,-61.34802139499023,150.8389327636414,158.31774603575118
2024-07-03,72.0,0,1.1,1.1,790,108,0,96,-8494.256600631643,11.190281601000347,-61.1927322894644,12.093183734826908,-60.59448847270671,148.31226382712416,177.9807036198839
2024-07-04,96.0,0,1.1,1.1,868,47,0,79,-9696.874035051696,11.239040862932882,-61.16453968813392,11.371355051151019,-61.364811686410874,152.7662693801058,124.57169368520925
2024-07-05,120.0,0,1.1,1.1,880,47,0,62,-9539.635040583267,11.236933310607634,-61.1679500795316,11.41006450300679,-61.29557522653268,152.56827991009786,125.90596435916235
2024-07-06,144.0,0,1.1,1.1,886,46,0,67,-8764.250479506698,11.235245184729095,-61.162718368501174,11.662931854758666,-61.17630086085861,151.17224750149737,142.13351657476346
2024-07-07,168.0,0,1.1,1.1,907,40,0,53,-8115.526840721484,11.253831518063402,-61.15598395073896,11.319811152848802,-61.31465474999599,151.9585223600682,114.7002488221924
2024-07-08,192.0,0,1.1,1.1,853,71,0,71,-7531.659445347201,11.228762297246755,-61.173627160024154,11.736955427594113,-61.01946324467024,154.77173027276876,112.65487080348187
2024-07-09,216.0,0,1.1,1.1,886,48,0,55,-7670.672632564914,11.22154854542455,-61.16708836342522,12.178068594194068,-61.33439804557228,151.56019126307228,146.94643684867032
2024-07-10,240.0,0,1.1,1.1,891,43,0,58,-7253.379283202483,11.24273392362157,-61.169945664013945,11.290219217713135,-61.21240320326826,151.82342232172593,135.53397041572146
